"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Utsava4: Any more questions as to why you don't see the REAL #Hillary in public anymore? She was arrested last Christmas and after her…",FALSE,0,NA,2019-09-29 07:06:24,FALSE,NA,"1178204363594096640",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MichaelMarheine",21,TRUE,FALSE,NA,NA
"@globaltimesnews Tibet,Taiwan and Hong Kong r not part and parcel of China,all world should come together and decla… https://t.co/6NWbN8Vsc0",FALSE,0,"globaltimesnews",2019-09-29 06:51:20,TRUE,"1176788431071891457","1178200568977690625","49616273","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Donnit007",0,FALSE,FALSE,NA,NA
"RT @MohammadDadash8: @SpeakerPelosi #restart_opposition 
#RestartMIGA 
#MAGA2020 
#realDonaldTrump 
#Restart_leader https://t.co/nPunESECwd",FALSE,0,NA,2019-09-29 06:50:20,FALSE,NA,"1178200318774935552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AhmadAMZzZ1",8,TRUE,FALSE,NA,NA
"RT @MohammadDadash8: #restart_opposition
#RestartMIGA 
#NancyPelosi 
#realDonaldTrump 
#RestarLeader https://t.co/agBfTZjBrX",FALSE,0,NA,2019-09-29 06:44:52,FALSE,NA,"1178198940837134337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peyali61",17,TRUE,FALSE,NA,NA
"RT @Utsava4: Any more questions as to why you don't see the REAL #Hillary in public anymore? She was arrested last Christmas and after her…",FALSE,0,NA,2019-09-29 06:42:20,FALSE,NA,"1178198306159300608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kryon777",21,TRUE,FALSE,NA,NA
"RT @Hossein92817510: @SpeakerPelosi @senatemajldr <U+0001F337> <U+0001F337>#restartleader
#Miga<U+0001F1EE><U+0001F1F7>
#Maga<U+0001F1FA><U+0001F1F8>
#Q<U+0001F4AA>
#PATRIOT<U+0001F337>
#Make_Iran_Great_Again<U+0001F91D>
#RestartMiga
#res…",FALSE,0,NA,2019-09-29 06:39:36,FALSE,NA,"1178197617983012865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AhmadAMZzZ1",2,TRUE,FALSE,NA,NA
"Great again? Ukrainigate. #impeachment #realDonaldTrump #AngelaMerkel",FALSE,0,NA,2019-09-29 06:36:21,FALSE,NA,"1178196800953565187",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","henrycbrinker",0,FALSE,FALSE,NA,NA
"RT @LadyTKnight: @realDonaldTrump Thank you Sir for all you do. This country is lucky to have you &amp; @FLOTUS in the White House fighting for…",FALSE,0,NA,2019-09-29 06:33:06,FALSE,NA,"1178195981361270791",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Trump4D",1,TRUE,FALSE,NA,NA
"RT @Utsava4: Any more questions as to why you don't see the REAL #Hillary in public anymore? She was arrested last Christmas and after her…",FALSE,0,NA,2019-09-29 06:30:21,FALSE,NA,"1178195288445468672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","conserv2mysoul",21,TRUE,FALSE,NA,NA
"RT @love_mercy3: #AmariAllen #BrettKavanaugh #realDonaldTrump  I wonder where the three boys at #Immanuelchristianschool got the idea to ho…",FALSE,0,NA,2019-09-29 06:18:41,FALSE,NA,"1178192351467991040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TamiMcKnight12",1,TRUE,FALSE,NA,NA
